project_code,project_name,client_name,venue_text,operating_from,operating_to,rev_mm,suggested_venue_id,suggested_venue_name,confirmed_venue_id,confirmed_brand_id
RCPU2622,레봄카페_해빙곡선,주식회사 레진엔터테인먼트 (LEZHIN Ent.) / 담당 선영님,성수 키다리스튜디오 사옥 (레진 사옥 내 사내카페 '레봄카페' 공간),2026-04-11,2026-05-17,53.4,,,,
RCPU2625,로제_부산엘시티,"(주)팬덤코퍼레이션 (수혜사, 실질 의뢰) / 주식회사 씨벨리 (계약·대금 주체)","부산 엑스 더 스카이(X the SKY) 100층 (부산 해운대구 달맞이길 30, 엘시티 랜드마크타워동)",2026-04-17,2026-05-17,84.7,,,,
RCPU2604,로블록스_더현대대구 (LEARN CREATE ROBLOX 2026),주식회사 플레이컴퍼니 / 정경한 차장,더현대 대구 (대구 중구 달구벌대로 2077) — B2층 보이드 40평 + 8층 대기 + 9층 교육/MD존,2026-04-22,2026-05-10,544.6,,,,
RIPU2604,리바이포유(Rbfy) 팝업스토어 — 경주,(주)에이치유지 (HUG Corp) / 양지원 팀장,"경주 (로컬 공간, 구체 주소 미상)",2026-04-24,2026-05-04,315.4,,,,
RTPU2634,닥터지 무빙카 팝업스토어,"닥터지(Dr.G) / 고운세상코스메틱 (브랜드 오너, 추정)",스테이지X 성수52 (성수),2026-04-24,2026-04-26,93.4,,,,
RCPU2624,메디큐브_롯데 부산 (메디큐브 롯데백화점 부산본점 팝업스토어),"APR (에이피알 / apr-in), 담당 김상은 대리 (kse@apr-in.com, 010-4183-0493)",롯데백화점 부산본점,2026-05-01,2026-05-14,46.8,ven_pg_72e175cae238,롯데백화점부산본점,,
RTPU2629,웨이든 성수 팝업스토어(1차) — 웨이든 x 무하마드 알리,웨이든(WEYDEN),스테이지X 성수52 (성수 52),2026-05-01,2026-05-10,50.2,,,,
RTPU2638,애드리치 롯데칠성 팝업스토어 (칠성사이다 북촌 팝업 - Welcome K-Drink with Chilsung Cider),"애드리치(Adrich, 대행사) / 롯데칠성음료 (브랜드: 칠성사이다). 클라이언트 담당자(리드 원천): 정도빈 매니저(롯데칠성 콘텐츠마케팅팀), dobin@lotte.net, 010-4190-1751",북촌 코너갤러리 (서울 북촌),2026-05-01,2026-05-11,160.6,,,,
RCPU2626,NCT 10주년 팝업스토어_파이팩토리 (NCT 10TH ANNIVERSARY [NCT 2026] POP UP : NEO GROUND),(주)에스엠엔터테인먼트 (SME) — 담당 손혜진 (heyjin@smtown.com),"파이팩토리 (군자, 서울 광진구 광나루로 441 / 본다빈치뮤지엄 능동)",2026-05-15,2026-05-23,174.8,,,,
RTPU2643,SME 아티스트 게릴라 프로모션 B,(주)에스엠엔터테인먼트 (SM Entertainment),동묘 (서울 종로/동대문 일대) — 게릴라 성격의 노상 프로모션,2026-05-15,2026-05-16,14.4,,,,
RIPU2609,H&M 성수 After Hour,H&M (담당자: Tami),성수 플레이스,2026-05-16,2026-05-16,109.8,,,,
RCPU2628,레진_2026 시즌 그리팅,주식회사 레진엔터테인먼트 (LEZHIN Ent.),"레이어41 스튜디오 (성수) — 서울 성동구 성수동2가 277-4, 아차산로9길 41, 약 450평",2026-05-20,2026-05-25,139.4,,,,
RCPU2629,레봄카페_백야의 꽃길,주식회사 레진엔터테인먼트 (LEZHIN Ent.),성수 키다리스튜디오 사옥 (레진/키다리스튜디오 사옥 내 레봄카페),2026-05-23,2026-06-21,29.9,,,,
RTPU2646,2026 에비스맥주 사케 페스티벌 부스 운영,"에비스맥주 (Ebisu, 기존고객 / 브랜드문의 유입) — 발주처·담당자 개인정보는 미확인","세텍(SETEC), 서울",2026-05-23,2026-05-24,22.3,,,,
RXPU2604,대상웰라이프 뉴케어 미니팝업,"대상웰라이프(주) IMC팀 정주연 과장 (jyyoen91@daesang.com, 010-3345-9612)",신세계 파주 프리미엄 아울렛 야외광장,2026-05-28,2026-06-07,138.0,,,,
RTPU2647,더블랙레이블 미야오 용산 오프라인 프로모션,더블랙레이블 (THEBLACKLABEL) — 아티스트 MEOVV(미야오),"용산 (아이파크몰 추정, 정확 구좌 미확인)",2026-05-29,2026-05-31,8.9,,,,
RTPU2636,라임라잇어패럴 전시부스 디자인,(주)라임라잇어패럴 (LIMELIGHT APPAREL) / 담당 문정민 디렉터,부산 벡스코(BEXCO) 제2전시장 — 2026 Far East Throwdown 대회 브랜드 부스,2026-05-30,2026-06-01,1.0,ven_pg_057223d0c2e0,벡스코,,
RTPU2644,SME 아티스트 게릴라 프로모션 A,"SM엔터테인먼트(SME) — 아티스트: 에스파(aespa) (추정, 노션 '에스파 게릴라 프로모션' 동일일정 근거)",여의도/강남/마포/성수 (노션 프로젝트 카드) · 포폴요청 페이지 표기 '마포·영등포·성동·강남 일대(서울 전역)' — 고정 팝업 아닌 옥외 게릴라 카트/이동형 활성화,2026-05-30,2026-05-31,20.9,ven_pg_3201da6adbdb,서울영등포구여의도한강공원길231,,
RTPU2644,SME 아티스트 게릴라 프로모션 A,"SM엔터테인먼트(SME) — 아티스트: 에스파(aespa) (추정, 노션 '에스파 게릴라 프로모션' 동일일정 근거)",여의도/강남/마포/성수 (노션 프로젝트 카드) · 포폴요청 페이지 표기 '마포·영등포·성동·강남 일대(서울 전역)' — 고정 팝업 아닌 옥외 게릴라 카트/이동형 활성화,2026-05-30,2026-05-31,20.9,ven_pg_28ac1fe74b8d,한강버스여의도선착장,,
RTPU2644,SME 아티스트 게릴라 프로모션 A,"SM엔터테인먼트(SME) — 아티스트: 에스파(aespa) (추정, 노션 '에스파 게릴라 프로모션' 동일일정 근거)",여의도/강남/마포/성수 (노션 프로젝트 카드) · 포폴요청 페이지 표기 '마포·영등포·성동·강남 일대(서울 전역)' — 고정 팝업 아닌 옥외 게릴라 카트/이동형 활성화,2026-05-30,2026-05-31,20.9,ven_pg_bf1f88591d4e,여의도공원관리사무소,,
RCPU2634,메디큐브_롯데월드몰,APR(에이피알) / 김상은 대리,롯데백화점 에비뉴엘 월드타워점(잠실 롯데월드몰),2026-06-03,2026-06-14,0.0,,,,
ROPU2608,2026 퍼시스 팝업스토어 'UNSEEN AWARDS',퍼시스(Fursys) / 대행 에이전시 아이디엇(IDIOT) 이승훈 이사·건웅 CD,"LECT 성수 (성수동 연무장길, 약 85평 1층 단층 / 부대행사는 성동구 연무장5길 20 카페 야외공간)",2026-06-05,2026-06-21,120.8,,,,
RTPU2649,웨이든 수원스타필드 팝업스토어,웨이든(Weiden),스타필드 수원 (수원 스타필드),2026-06-05,2026-06-18,0.0,atp_수원,수원,,
ROPU2607,도브 피파 월드컵 캠페인 (DOVE X FIFA 월드컵 26 캠페인),"유니레버(Unilever) 도브(Dove) 브랜드 — 발주처/에이전시 BBDO KOREA, 담당 한예지 팀장(yeji.han@omc.com), 계약담당 신혜인 차장","스타필드 코엑스(별마당길/JTBC 중계존/팝업존) — 신세계프라퍼티(SMP&C) 관할, 신세계 스타필드 임정현 과장 담당",2026-06-08,2026-06-14,133.2,ven_pg_ba631baa9f03,코엑스,,
RCPU2631,이직로그_현대신촌 (이직로그 팝업스토어),"크랙엔터테인먼트 (Crack Entertainment) / 브랜딩팀, design@crackent.com",현대백화점 신촌점 유플렉스 1층 (현대신촌 U-PLEX),2026-06-11,2026-06-24,66.2,ven_pg_2333f85666d7,현대백화점신촌점,,
RCPU2632,베리시_아이스온 행사 (Verish ICE ON 프로모션),"(주)딥다이브 (브랜드: 베리시/Verish, 이너웨어) — 담당자 박민재",무신사 메가스토어 성수(S1) + 베리시 성수 플래그십 + 6개 유통/로드샵점(명동·도산·안국·스타필드하남·롯데동부산·신세계대전),2026-06-11,2026-06-24,135.3,,,,
RTPU2645,야놀자 놀데이 오프라인 프로모션,"야놀자 / 놀유니버스(NOL Universe) — 접점 이메일 nolpr@nol-universe.com, 인바운드 문의는 HSAD(HS애드) 경유","성수, 롯데아울렛 의왕 (Notion '팝업 장소' 필드). 최초 브리프는 트럭 순회형(대학가·직장인 밀집지역)",2026-06-15,2026-06-21,24.0,,,,
RIPU2607,엑소코바이오 팝업스토어,엑소코바이오 (Exocobio),"517랩 (517 Lab, 성수 소재 대관 공간 추정)",2026-06-19,2026-06-29,142.2,,,,
RIPU2608,YES24 서울국제도서전 부스,YES24 (예스24),"코엑스 (서울국제도서전, YES24 부스)",2026-06-24,2026-06-28,100.0,ven_pg_ba631baa9f03,코엑스,,
RCPU2636,플라워노즈_더현대서울,"(주)그레이스 (Grace Int.) / 담당자 이주희 대리 (juhee.lee@graceint.com, 010-2535-7314)",더현대서울 지하 2층 아이코닉존(지하철 반대 방향),2026-06-25,2026-07-01,0.0,,,,
RXPU2602,캄파리_TGG 캠페인 (더 글렌그란트 The Glen Grant 팝업스토어),"캄파리코리아 (Campari Korea) — 담당 이성훈 차장(Alex Lee), Alex.Lee@campari.com, 010-6876-3234","스테이지엑스 성수 차봇 (StageX Seongsu 차봇/Chabot), 성수 — Phase2 팝업 공간. 1F/2F 2개층",2026-06-26,2026-07-05,161.9,,,,
RCPU2639,안경만두_더현대서울,주식회사 콘콘 (서소영 대표),더현대 서울 지하 2층 아이코닉존(여의도역 지하철 연결통로 방면),2026-07-09,2026-07-22,0.0,,,,
RTPU2621,BMW 사회공헌사업 (내부명: BMW YIDP 2026 팝업),BMW (BMW 사회공헌사업 / 발주처·담당자 미확정),"성수 차봇 (Seongsu Chabot, 자사 관리 공간)",2026-07-10,2026-07-12,15.0,,,,
